,tweet,filtered_tweets,label,score
29,Come on @ABC PLEASE DO THE RIGHT THING. Move the #biden town hall.  I bet a requirement for Orange Monkey to do the NBC town hall was to have it opposite Biden.  PLEASE MOVE YOURS.,come on abc please do the right thing move the biden town hall  i bet a requirement for orange monkey to do the nbc town hall was to have it opposite biden  please move yours,neutral,0.5528343319892883
30,"If the actions of Facebook and Twitter over the #NewYorkPost expose on #Biden and his son doesn't convince you that the corporate media is manufactured news/MIC/thought control bullshit, nothing will.",if the actions of facebook and twitter over the newyorkpost expose on biden and his son doesnt convince you that the corporate media is manufactured newsmicthought control bullshit nothing will,negative,0.8285077810287476
31,"#Omg...he'll probably be whispering in #Biden's ear, 
""Don't f*ck this up...#China is counting on us..."" 

#NoTPP #StopTPP #NoCPTPP #StopCPTPP

https://t.co/eqI3atGiw9 https://t.co/8ySX3OWubx https://t.co/QBpLJIBwfT","omghell probably be whispering in bidens ear 
dont fck this upchina is counting on us 

notpp stoptpp nocptpp stopcptpp

httpstcoeqi3atgiw9 httpstco8ysx3owubx httpstcoqbpljibwft",negative,0.7214453816413879
32,"@MaryBriggs1 God forbid that Biden should get anything, no control, nothing! 
If you watch #Biden, he gets out of control on every slightest questions!
How can a person like him, be a Commander in Chief of the United States of America?
How?","marybriggs1 god forbid that biden should get anything no control nothing 
if you watch biden he gets out of control on every slightest questions
how can a person like him be a commander in chief of the united states of america
how",negative,0.9259751439094543
33,"@TwitterSafety You don’t usually bother, why the huge effort in response to the #Biden @nypost story?",twittersafety you dont usually bother why the huge effort in response to the biden nypost story,neutral,0.6642266511917114
34,"#realDonaldTrump addresses #JoeBiden and #HunterBiden corruption, more proof of which discovered on a laptop.
#ObamaBidenGate #NYPost #MSNBC #CBS #NBC #ABC #FoxNews #KamalaHarris https://t.co/7RtMOdoXGd","realdonaldtrump addresses joebiden and hunterbiden corruption more proof of which discovered on a laptop
obamabidengate nypost msnbc cbs nbc abc foxnews kamalaharris httpstco7rtmodoxgd",neutral,0.5444539189338684
35,#unflatteringdogphotochallenge #HunterBiden #CNN #Biden #ChickenTrump #AmericaFirst #bachelorette #90DayFiance #BigBrother #coronavirus #BidenHarris2020 #JoeBiden https://t.co/mnalZeTKmM https://t.co/hWV9PBbiJX,unflatteringdogphotochallenge hunterbiden cnn biden chickentrump americafirst bachelorette 90dayfiance bigbrother coronavirus bidenharris2020 joebiden httpstcomnalzetkmm httpstcohwv9pbbijx,neutral,0.6918323636054993
36,A simple question. Who are you voting for? #2020Election #DonaldTrump #JoeBiden #uspoli #mapoli,a simple question who are you voting for 2020election donaldtrump joebiden uspoli mapoli,neutral,0.8837298154830933
37,"@Twitter, since you are censoring free speech, in regards to the #JoeBiden email scandal, I opened up a @parler_app account. I wouldn't have done it without your motivation!
@JoeBiden #Parler #censorship #Twitter #Conservative","twitter since you are censoring free speech in regards to the joebiden email scandal i opened up a parlerapp account i wouldnt have done it without your motivation
joebiden parler censorship twitter conservative",negative,0.6766274571418762
38,@Timodc OH BARF! Video of #Biden bragging about withholding the money to #Ukraine unless they complied. Fact not your crap.,timodc oh barf video of biden bragging about withholding the money to ukraine unless they complied fact not your crap,negative,0.8352085947990417
39,#Biden https://t.co/WAFPpbahqX,biden httpstcowafppbahqx,neutral,0.6955074071884155
40,"@Twitter blocking people from their account because Hunter Biden introduced his Dad @JoeBiden to the Ukraine dude... $$$$
#JoeBiden has some explaining to do https://t.co/wnebC1y8L7","twitter blocking people from their account because hunter biden introduced his dad joebiden to the ukraine dude 
joebiden has some explaining to do httpstcownebc1y8l7",negative,0.7187840342521667
41,Has this awoken you from your slumbers yet @BBCJonSopel. Getting to the point where even you may have to file a negative story about #Biden! https://t.co/Y54y25n6dU,has this awoken you from your slumbers yet bbcjonsopel getting to the point where even you may have to file a negative story about biden httpstcoy54y25n6du,negative,0.7381025552749634
42,"Since Twitter is censoring news, here’s the screen shot... #censorship #biden #BidenHarris2020 #NYPost https://t.co/03TJVAh7xE",since twitter is censoring news heres the screen shot censorship biden bidenharris2020 nypost httpstco03tjvah7xe,negative,0.6119118332862854
43,@jolenebuntinguk @realDonaldTrump amazing what you can do these days... time well spent (NOT) #VOTE #maskupUAS #FoxNews '#CNN #JoeBiden #TrumpIsALaughingStock,jolenebuntinguk realdonaldtrump amazing what you can do these days time well spent not vote maskupuas foxnews cnn joebiden trumpisalaughingstock,positive,0.64425128698349
44,@heffnera While you have the tar &amp; feathers out why don't you question @JoeBiden about the quid pro quo with the Ukrainians.The #media and Democrats are suppressing the story and hiding the government corruption by #JoeBiden . Do you support corruption? If not let's tar and feather #Biden,heffnera while you have the tar amp feathers out why dont you question joebiden about the quid pro quo with the ukrainiansthe media and democrats are suppressing the story and hiding the government corruption by joebiden  do you support corruption if not lets tar and feather biden,negative,0.710803210735321
45,@ThePlumLineGS #twitter lies here is #JoeBiden https://t.co/khrZuHsrQI,theplumlinegs twitter lies here is joebiden httpstcokhrzuhsrqi,negative,0.7087125778198242
46,Hunter Biden emails demonstrate the crooked Biden family. #Biden,hunter biden emails demonstrate the crooked biden family biden,negative,0.7815757989883423
47,#Twitter #HunterBiden #BigTechCensorship #bigtech #BigTechCoup #JoeBiden #Biden https://t.co/VMgtbVEkTT,twitter hunterbiden bigtechcensorship bigtech bigtechcoup joebiden biden httpstcovmgtbvektt,neutral,0.7425971627235413
48,"@ABC @CBSNews @CNN @NBCNews all ignoring BIDEN family shady dealings with China. #Biden
NY Post exposes Biden crimes. Senate Homeland Security Committee Investigating Hunter Biden Emails https://t.co/PLrGGuEB5L @GOP @TrumpWarRoom @realDonaldTrump","abc cbsnews cnn nbcnews all ignoring biden family shady dealings with china biden
ny post exposes biden crimes senate homeland security committee investigating hunter biden emails httpstcoplrggueb5l gop trumpwarroom realdonaldtrump",negative,0.5328613519668579
49,"@ProjectLincoln @nypost VOTE wisely.
and by wisely I mean for JOE… or else….

#JoeBiden @JoeBiden https://t.co/zitXBdRmWO","projectlincoln nypost vote wisely
and by wisely i mean for joe or else

joebiden joebiden httpstcozitxbdrmwo",neutral,0.7402332425117493
50,"Hunter #Biden introduced his father, then-Vice President Joe Biden, to a top executive at a Ukrainian energy firm less than a year before the elder Biden pressured government officials in Ukraine into firing a prosecutor who was investigating the company, according to emails",hunter biden introduced his father thenvice president joe biden to a top executive at a ukrainian energy firm less than a year before the elder biden pressured government officials in ukraine into firing a prosecutor who was investigating the company according to emails,neutral,0.7931143045425415
51,@seeknmeann I guess #beaubiden was just as crooked as his father #joebiden. #democRat party is circling the drain. America loves and backs you Larry Sinclair,seeknmeann i guess beaubiden was just as crooked as his father joebiden democrat party is circling the drain america loves and backs you larry sinclair,negative,0.8125447630882263
52,"Hunter #Biden introduced Ukrainian businessman to VP dad

That is real! Twitter and Facebook literally block every1 from posting this story and link to it &amp; this is mainstream #NewYorkPost!

I hate Trump, but censorship is never a progress - be it from right - be it from left.","hunter biden introduced ukrainian businessman to vp dad

that is real twitter and facebook literally block every1 from posting this story and link to it amp this is mainstream newyorkpost

i hate trump but censorship is never a progress  be it from right  be it from left",negative,0.7074544429779053
53,"This is from the same night I met the cast of #TWW and I was wearing the same shirt as @AllisonBJanney 😍

#VOTE #voteblue #JoeBiden #LoveTrumpsHate https://t.co/aESuB1ipBq","this is from the same night i met the cast of tww and i was wearing the same shirt as allisonbjanney 

vote voteblue joebiden lovetrumpshate httpstcoaesub1ipbq",neutral,0.6318668127059937
54,What a load of crap from #Twitter attempting to justify their censorship of @nypost #UkraineGate article especially when they acted in step with @Facebook to suppress this information. Both stepped in 💩 by putting their thumbs on the scale for #Biden &amp; must pay the price! https://t.co/ImOD7zUULN,what a load of crap from twitter attempting to justify their censorship of nypost ukrainegate article especially when they acted in step with facebook to suppress this information both stepped in  by putting their thumbs on the scale for biden amp must pay the price httpstcoimod7zuuln,negative,0.9045576453208923
55,"@Jbeckner121105 @nbc Thinking of watching the #SteamingPileOfTrump town hall Thursday?
Please reconsider.
#JoeBiden has a previously announced town hall on 
@ABC @ the same time on Thursday.
#Boycott @MSNBC, @CNBC &amp; the #TrumpTownHall.
Watch #ABC instead.
#BoycottMSNBC #BoycottNBC #Resist #MeToo https://t.co/yEZnETmGFQ","jbeckner121105 nbc thinking of watching the steamingpileoftrump town hall thursday
please reconsider
joebiden has a previously announced town hall on 
abc  the same time on thursday
boycott msnbc cnbc amp the trumptownhall
watch abc instead
boycottmsnbc boycottnbc resist metoo httpstcoyeznetmgfq",neutral,0.5593730211257935
56,"Video from The Recount. Trump's Stupid History With Hurricanes.

#JoeBiden #Biden2020 #BlueWave2020 #TrumpMadeInChina #VoteOutRacism #TrumpHoaxedAmerica #VotingForMyAmerica #AmericasGreatestMistake #TrumpHatesWomen #YesWeCan #TrumpIsACompleteFailure 

https://t.co/uACk92IkCz","video from the recount trumps stupid history with hurricanes

joebiden biden2020 bluewave2020 trumpmadeinchina voteoutracism trumphoaxedamerica votingformyamerica americasgreatestmistake trumphateswomen yeswecan trumpisacompletefailure 

httpstcouack92ikcz",negative,0.749424934387207
57,#Biden #BidenHarris2020 #BidenHarris  https://t.co/9s9zwfRDOv,biden bidenharris2020 bidenharris  httpstco9s9zwfrdov,neutral,0.8796889185905457
58,#Biden supporters are the like the #stormarea51 fokes. For the good of all Americans hopefully they can be found and they #TrumpPence2020 #VoteTrump2020ToSaveAmerica. https://t.co/uLpc2QYbc0,biden supporters are the like the stormarea51 fokes for the good of all americans hopefully they can be found and they trumppence2020 votetrump2020tosaveamerica httpstcoulpc2qybc0,neutral,0.4677940309047699
59,"@realDonaldTrump #TrumpIsALaughingStock @realDonaldTrump at his Iowa cult rally compared #JoeBiden to Putin, XI, and Kim Jong-un.  In the same sentence he called @JoeBiden “shot” and all 3 communist leaders “SHARP”

#TrumpIsANationalDisgrace","realdonaldtrump trumpisalaughingstock realdonaldtrump at his iowa cult rally compared joebiden to putin xi and kim jongun  in the same sentence he called joebiden shot and all 3 communist leaders sharp

trumpisanationaldisgrace",negative,0.7949697375297546
60,@ThePlumLineGS is #JoeBiden a liar .blocking people who state facts is dishonest https://t.co/khrZuHsrQI,theplumlinegs is joebiden a liar blocking people who state facts is dishonest httpstcokhrzuhsrqi,negative,0.8776617646217346
61,#JoeBiden You will NOT be elected President because YOU ARE NOT ONE OF US!,joebiden you will not be elected president because you are not one of us,negative,0.8708928227424622
62,"Biden, Bush Bombshells https://t.co/BSJiRQHRwq nasty lying GUILTY Hunter Biden...wow! Court documents expose the slime the #Biden’s are...",biden bush bombshells httpstcobsjirqhrwq nasty lying guilty hunter bidenwow court documents expose the slime the bidens are,negative,0.8932370543479919
63,"@TwitterSafety @Twitter @RecIaimTheNet This is serious interference and censorship in an ongoing democratic election Twitter! What proofs do you have that this is ""Hacked Materials""?
#news #politics #censorship #Election2020 #election #Biden  #Trump https://t.co/cYQmAyVizU","twittersafety twitter reciaimthenet this is serious interference and censorship in an ongoing democratic election twitter what proofs do you have that this is hacked materials
news politics censorship election2020 election biden  trump httpstcocyqmayvizu",negative,0.645828366279602
64,#Biden @JoeBiden Losers x2. https://t.co/sCOEt7QdIk,biden joebiden losers x2 httpstcoscoet7qdik,negative,0.5305314660072327
65,"@BreitbartNews And what the F is this.

#WashingtonPost confirms...there is an ACTUAL VIDEO OF #JoeBiden saying he literally did this. 

#TwitterIsTheDNC https://t.co/GPMSYhmGxF","breitbartnews and what the f is this

washingtonpost confirmsthere is an actual video of joebiden saying he literally did this 

twitteristhednc httpstcogpmsyhmgxf",neutral,0.49691519141197205
66,"Some where in the shadows, Hillary is firing up her suicide machine. #Biden #HunterBiden #HunterBidenEmails",some where in the shadows hillary is firing up her suicide machine biden hunterbiden hunterbidenemails,negative,0.509706974029541
67,These are #Biden people with bats. https://t.co/1UCaX1HvhC,these are biden people with bats httpstco1ucax1hvhc,neutral,0.8561329245567322
68,"“Dear Hunter, thank you for inviting me to DC and giving an opportunity to meet your father and spent [sic] some time together. It’s realty [sic] an honor and pleasure,” -Vadym Pozharskyi, an adviser to the board of Burisma #JoeBiden #Corruption #BidenHarris #HunterBiden https://t.co/JuuFL2yu3x",dear hunter thank you for inviting me to dc and giving an opportunity to meet your father and spent sic some time together its realty sic an honor and pleasure vadym pozharskyi an adviser to the board of burisma joebiden corruption bidenharris hunterbiden httpstcojuufl2yu3x,positive,0.9504246115684509
69,TWITTER is so corrupt!!!!  We see you @Twitter #Corruption #Biden #HunterBiden #HunterBidenEmails #hunterscrackpipe #ObamaBidenGate #FakeNews,twitter is so corrupt  we see you twitter corruption biden hunterbiden hunterbidenemails hunterscrackpipe obamabidengate fakenews,negative,0.9647433161735535
70,@roinnslainte @CMOIreland @ronan_glynn @lieabh @maddow @Lawrence @RepKatiePorter @drsanjaygupta @KamalaHarris @JoeBiden @VP @realDonaldTrump @Yamiche @CDCDirector.  Why aren’t we having ads like this in the US.  Ireland has an uptick in cases and they aren’t advocating 2-6 million ppl die using idiotic “herd immunity”! #Biden,roinnslainte cmoireland ronanglynn lieabh maddow lawrence repkatieporter drsanjaygupta kamalaharris joebiden vp realdonaldtrump yamiche cdcdirector  why arent we having ads like this in the us  ireland has an uptick in cases and they arent advocating 26 million ppl die using idiotic herd immunity biden,negative,0.8354138135910034
71,The reason why Twitter has locked the New York Post account is because the Post is reporting on explosive new revelations that prove #JoeBiden lied to coverup his corrupt and illegal activity as Vice President. https://t.co/VEaoC6PrTU,the reason why twitter has locked the new york post account is because the post is reporting on explosive new revelations that prove joebiden lied to coverup his corrupt and illegal activity as vice president httpstcoveaoc6prtu,negative,0.7825573086738586
72,"State of the race in SOUTH CAROLINA as of 10/14/2020

Polling Average:

Trump 51.0% (-0.1% from yesterday)
Biden 43.8% (-0.2% from yesterday)

Win probabiity:

Trump: 88.7% (+0.3% from yesterday)
Biden: 11.3%
 
Source: FiveThirtyEight

#ElectionTwitter
#Election2020
#Biden #Trump","state of the race in south carolina as of 10142020

polling average

trump 510 01 from yesterday
biden 438 02 from yesterday

win probabiity

trump 887 03 from yesterday
biden 113
 
source fivethirtyeight

electiontwitter
election2020
biden trump",neutral,0.8256092667579651
73,"Powerful actors are trying to twist the arms of Americans into voting for #Biden but don't seem to understand human behavior. Forcefully blindfolding and leading voters away from a media story about Biden only makes him look really, really bad. https://t.co/6EP7mglTe6",powerful actors are trying to twist the arms of americans into voting for biden but dont seem to understand human behavior forcefully blindfolding and leading voters away from a media story about biden only makes him look really really bad httpstco6ep7mglte6,negative,0.9230042695999146
74,"Uh oh Joe... Things really seem to be unwinding fast now.

#BidenHarrisToSaveAmerica
#BidenHarrisLandslide2020
#BidenHarris #Biden #JoeHidin
#HeelsUpHarris 👠#HarrisBiden2020
#TrumpCovid19 #Trump2020
#Trump2020Landslide 🇺🇸#KAG2020 🕶","uh oh joe things really seem to be unwinding fast now

bidenharristosaveamerica
bidenharrislandslide2020
bidenharris biden joehidin
heelsupharris harrisbiden2020
trumpcovid19 trump2020
trump2020landslide kag2020 ",neutral,0.6423731446266174
75,"Laptop computer abandoned at Delaware repair shop contains #emails between #HunterBiden &amp; senior #Burisma #adviser indicating Hunter arranged a meeting between then VP #JoeBiden &amp; the adviser in Washington, DC in 2015.
Joe Biden Calls a Lid &amp; Hides https://t.co/X1ynqJzbUN","laptop computer abandoned at delaware repair shop contains emails between hunterbiden amp senior burisma adviser indicating hunter arranged a meeting between then vp joebiden amp the adviser in washington dc in 2015
joe biden calls a lid amp hides httpstcox1ynqjzbun",neutral,0.7749371528625488
76,"For 30+ Years the @GOP Has Wanted to Destroy #SocialSecurity...4 the 1st Time in My Generation, the GOP Has a President Willing to Go All the Way 2 Abolish the Program that Helps #Seniors..This is One of the Reasons I Voted 4 #JoeBiden! #Florida #Virginia #NorthCarolina #PA #Ohio",for 30 years the gop has wanted to destroy socialsecurity4 the 1st time in my generation the gop has a president willing to go all the way 2 abolish the program that helps seniorsthis is one of the reasons i voted 4 joebiden florida virginia northcarolina pa ohio,negative,0.5922368764877319
77,"#HunterBiden &amp; #JoeBiden are so busted! Emails released! #WakeUpAmerica 

#KAG #Trump2020","hunterbiden amp joebiden are so busted emails released wakeupamerica 

kag trump2020",neutral,0.49074605107307434
78,"HOYL!!

https://t.co/4MoM2dcnhN

#IceCube #JoeBiden","hoyl

httpstco4mom2dcnhn

icecube joebiden",neutral,0.7837255597114563
79,"Five cents says this gal is named Karen and voting for Trump, lol. #biden https://t.co/sYwYcmmkcA",five cents says this gal is named karen and voting for trump lol biden httpstcosywycmmkca,neutral,0.6051753759384155
80,#twittet and #facebook run for #biden at #PresidentialElection2020 #USElection2020. just to know. are you a sheep? https://t.co/yUK7cBdCki,twittet and facebook run for biden at presidentialelection2020 uselection2020 just to know are you a sheep httpstcoyuk7cbdcki,neutral,0.5565518140792847
81,#Biden lied https://t.co/Lqy0TBpXkg,biden lied httpstcolqy0tbpxkg,negative,0.678425133228302
82,"Who is leading? Trump or baiden!
Follow the link to know! 
https://t.co/2kaIBbxqAr
#USA #USPresidentialElections2020 #USElection #USElection2020 #TrumpCovid19 #trump #JoeBiden #USElectionDialogues #Election2020 #Elections2020 #ElectionDay #Trump2020","who is leading trump or baiden
follow the link to know 
httpstco2kaibbxqar
usa uspresidentialelections2020 uselection uselection2020 trumpcovid19 trump joebiden uselectiondialogues election2020 elections2020 electionday trump2020",neutral,0.7934420108795166
83,"Biden for (p)resident
Trump fo(u)r more years

#DonaldTrump #JoeBiden #Election2020 https://t.co/0iUphtSbR9","biden for president
trump four more years

donaldtrump joebiden election2020 httpstco0iuphtsbr9",neutral,0.7449356913566589
84,"Not so much as there r automated digital forensic progs that do this sort of analysis vy quickly (e.g. #Encase) &amp; if u r just looking 4 a high-lvl characterization of drive &amp; file content (overt data), keyword, images, email &amp; doc parsing helps w/ triaging high-value info. #Biden https://t.co/mUmWKBKH77",not so much as there r automated digital forensic progs that do this sort of analysis vy quickly eg encase amp if u r just looking 4 a highlvl characterization of drive amp file content overt data keyword images email amp doc parsing helps w triaging highvalue info biden httpstcomumwkbkh77,neutral,0.5993480086326599
